registros,natureza,municipio,cod_municipio,mes,ano,risp,rmbh
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,6,2020,9,NÃO
0,Estupro Tentado,UBERLANDIA,317020,6,2020,9,NÃO
2,Extorsão Consumado,UBERLANDIA,317020,6,2020,9,NÃO
0,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,6,2020,9,NÃO
0,Extorsão Tentado,UBERLANDIA,317020,6,2020,9,NÃO
1,Homicídio Tentado,UBERLANDIA,317020,6,2020,9,NÃO
125,Roubo Consumado,UBERLANDIA,317020,6,2020,9,NÃO
6,Roubo Tentado,UBERLANDIA,317020,6,2020,9,NÃO
0,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,6,2020,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,6,2020,9,NÃO
1,Estupro Consumado,UBERLANDIA,317020,7,2020,9,NÃO
4,Estupro de Vulnerável Consumado,UBERLANDIA,317020,7,2020,9,NÃO
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,7,2020,9,NÃO
0,Estupro Tentado,UBERLANDIA,317020,7,2020,9,NÃO
1,Extorsão Consumado,UBERLANDIA,317020,7,2020,9,NÃO
1,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,7,2020,9,NÃO
0,Extorsão Tentado,UBERLANDIA,317020,7,2020,9,NÃO
1,Homicídio Tentado,UBERLANDIA,317020,7,2020,9,NÃO
86,Roubo Consumado,UBERLANDIA,317020,7,2020,9,NÃO
11,Roubo Tentado,UBERLANDIA,317020,7,2020,9,NÃO
0,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,7,2020,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,7,2020,9,NÃO
8,Estupro Consumado,UBERLANDIA,317020,8,2020,9,NÃO
7,Estupro de Vulnerável Consumado,UBERLANDIA,317020,8,2020,9,NÃO
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,8,2020,9,NÃO
0,Estupro Tentado,UBERLANDIA,317020,8,2020,9,NÃO
0,Extorsão Consumado,UBERLANDIA,317020,8,2020,9,NÃO
0,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,8,2020,9,NÃO
0,Extorsão Tentado,UBERLANDIA,317020,8,2020,9,NÃO
6,Homicídio Tentado,UBERLANDIA,317020,8,2020,9,NÃO
86,Roubo Consumado,UBERLANDIA,317020,8,2020,9,NÃO
7,Roubo Tentado,UBERLANDIA,317020,8,2020,9,NÃO
1,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,8,2020,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,8,2020,9,NÃO
3,Estupro Consumado,UBERLANDIA,317020,9,2020,9,NÃO
7,Estupro de Vulnerável Consumado,UBERLANDIA,317020,9,2020,9,NÃO
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,9,2020,9,NÃO
1,Estupro Tentado,UBERLANDIA,317020,9,2020,9,NÃO
1,Extorsão Consumado,UBERLANDIA,317020,9,2020,9,NÃO
1,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,9,2020,9,NÃO
1,Extorsão Tentado,UBERLANDIA,317020,9,2020,9,NÃO
3,Homicídio Tentado,UBERLANDIA,317020,9,2020,9,NÃO
120,Roubo Consumado,UBERLANDIA,317020,9,2020,9,NÃO
4,Roubo Tentado,UBERLANDIA,317020,9,2020,9,NÃO
2,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,9,2020,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,9,2020,9,NÃO
6,Estupro Consumado,UBERLANDIA,317020,10,2020,9,NÃO
2,Estupro de Vulnerável Consumado,UBERLANDIA,317020,10,2020,9,NÃO
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,10,2020,9,NÃO
0,Estupro Tentado,UBERLANDIA,317020,10,2020,9,NÃO
1,Extorsão Consumado,UBERLANDIA,317020,10,2020,9,NÃO
0,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,10,2020,9,NÃO
1,Extorsão Tentado,UBERLANDIA,317020,10,2020,9,NÃO
6,Homicídio Tentado,UBERLANDIA,317020,10,2020,9,NÃO
113,Roubo Consumado,UBERLANDIA,317020,10,2020,9,NÃO
9,Roubo Tentado,UBERLANDIA,317020,10,2020,9,NÃO
1,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,10,2020,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,10,2020,9,NÃO
3,Estupro Consumado,UBERLANDIA,317020,11,2020,9,NÃO
